id,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
aichi__nagoya-kana__nagoya,1.0,1.0,1.0,0.591876208897,1.0,1.0,0.0116054158607,0.0116054158607,1.0,1.0,1.0,1.0,1.0,1.0
aichi__okazaki-kana__okazaki,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aichi__oku-kana__oobu,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aichi__shingo-castle__shinshiro,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aichi__tahara-kana__tahala,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aichi__tokai-kana__NONE____2012-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aichi__toyama-kana__toyoyama____2005-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aichi__toyohashi-kana__toyohashi,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aichi__toyota-kana__toyota,0.996131528046,0.996131528046,0.996131528046,0.996131528046,0.99419729207,0.0,0.0,0.0,0.996131528046,0.0,0.0,0.0,0.0,0.0
aichi__writer-katakana__tsukodee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__ai-no-kana__aniayi,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.982591876209,0.0,0.0,0.0,0.0,0.0
akita__akita-kana__akita,1.0,1.0,1.0,0.771760154739,1.0,1.0,0.301740812379,0.206963249516,1.0,1.0,1.0,1.0,1.0,1.0
akita__armored-field-kana__yoroi-bata,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__fujisato-kana__fujisato,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__fujiwara-kana__fujiwara,0.0,0.0,0.0,0.996131528046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__gokojima-kana__gojoume,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.99419729207,0.0,0.0,0.0,0.0,0.0
akita__hachimantai-kaa__hachimantai,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.969052224371,0.0,0.0,0.0,0.0,0.0
akita__hachimori-kana__hachimori,1.0,1.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
akita__higase-gen-kana__higa-shinsei,0.0,0.0,0.0,0.988394584139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__hinoki-inside-kana__hinokinai,0.0,0.0,0.0,0.99419729207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__hitachiuchi-kana__hitachini,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__honjo-cana__honjo,1.0,1.0,1.0,0.998065764023,0.996131528046,0.0,1.0,1.0,0.996131528046,0.0,0.0,0.0,0.0,0.0
akita__iwami-sanchi-kana__iwamisannai,1.0,1.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,0.976789168279,0.0,0.0,0.0,0.0,0.0
akita__jinja-kana__jimba,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__kaga-kana__katsuno,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.986460348162,0.0,0.0,0.0,0.0,0.0
akita__kakunoda-kana__kakunodate,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.986460348162,0.0,0.0,0.0,0.0,0.0
akita__keumuyama-kana__holohayama____2005-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__mikiyama-sana__mitsumoriyama____1994-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__moriyoshiyama-kana__moriyoshiyama____2009-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__mt-ukaidoyama__ubaidoyama____1983-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__nakahara-kana__nikaho,1.0,1.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
akita__NONE__uno-tay,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.974854932302,0.0,0.0,0.0,0.0,0.0
akita__noritakana__nibetsu,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__noshiro-kana__nosiro,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
akita__odate-kana__odate,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.970986460348,0.0,0.0,0.0,0.0,0.0
akita__oga-kana__oga,1.0,1.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
akita__oga-makayama-kana__ogachinesan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__oga-motoyama-kana__ogahonzan____1984-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__ogata-kana__ogata,1.0,1.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
akita__okae-kana__oomagari,1.0,1.0,1.0,0.94584139265,1.0,0.0,0.0,0.0,0.982591876209,0.0,0.0,0.0,0.0,0.0
akita__sasako-kana__ginego,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__shingakami-kana__wakigami,0.99419729207,0.99419729207,0.99419729207,0.99419729207,0.0,0.0,0.0,0.0,0.996131528046,0.0,0.0,0.0,0.0,0.0
akita__sugizawa-mountain-kana__sugisawayama____1983-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__taiheiyama-kana__tai-haisan____1984-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__taishoji-kana__daisyouji,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.984526112186,0.0,0.0,0.0,0.0,0.0
akita__takanosu-kana__takanos,1.0,1.0,1.0,1.0,0.965183752418,0.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
akita__tashiro-mountain-cana__tasilodake____2005-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__tazawako-kana__tazawaco,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.970986460348,0.0,0.0,0.0,0.0,0.0
akita__tazawako-takahara-kana__tazawa-cocogen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akita__tohru-kana__higashi-yuri,1.0,1.0,1.0,0.996131528046,0.970986460348,0.0,0.0,0.0,0.972920696325,0.0,0.0,0.0,0.0,0.0
akita__yajima-kana__yashima,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.986460348162,0.0,0.0,0.0,0.0,0.0
akita__yokote-kana__NONE,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.961315280464,0.0,0.0,0.0,0.0,0.0
akita__yuuse-kana__NONE,1.0,1.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,0.99419729207,0.0,0.0,0.0,0.0,0.0
akita__yuwa-kana__yuwa,0.998065764023,0.998065764023,0.998065764023,0.998065764023,0.0,0.0,0.0,0.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
akita__yuzawa-kana__yuzawa,1.0,1.0,1.0,0.992263056093,0.998065764023,0.0,1.0,1.0,0.970986460348,0.0,0.0,0.0,0.0,0.0
aomori__acid-kettle-kana__sukayu,0.990328820116,0.990328820116,0.990328820116,0.988394584139,0.99419729207,0.0,0.986460348162,0.984526112186,0.959381044487,0.0,0.0,0.0,0.0,0.0
aomori__aomori-kana__aomori,1.0,1.0,1.0,0.7833655706,1.0,1.0,0.394584139265,0.251450676983,1.0,0.996131528046,1.0,0.996131528046,1.0,1.0
aomori__aomori-otani-kana__aomori-ootani,0.998065764023,0.998065764023,0.998065764023,0.976789168279,0.0,0.0,0.0,0.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
aomori__asahina-mountain-kana__asahinada-dake____2009-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__fukaura-kana__fukaura,1.0,1.0,1.0,0.779497098646,0.998065764023,0.0,0.323017408124,0.206963249516,1.0,0.998065764023,1.0,0.998065764023,1.0,0.0
aomori__goshogawara-kana__goshogawara,1.0,1.0,1.0,0.998065764023,0.998065764023,0.0,1.0,1.0,0.967117988395,0.0,0.0,0.0,0.0,0.0
aomori__hachinohe-kana__hachinoho,1.0,1.0,1.0,0.657640232108,1.0,0.0,0.183752417795,0.10251450677,1.0,1.0,1.0,1.0,1.0,0.0
aomori__hakkoda-mountain-kana__hakko-dasan____2009-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__hikawa-kana__nurkawa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__hirosaki-kana__hirosaki,1.0,0.998065764023,0.998065764023,0.998065764023,0.998065764023,0.0,0.998065764023,0.998065764023,0.978723404255,0.0,0.0,0.0,0.0,0.0
aomori__holiday-kana__yasumiya,1.0,1.0,1.0,1.0,0.992263056093,0.0,0.0,0.0,0.972920696325,0.0,0.0,0.0,0.0,0.0
aomori__ichiura-kana__siura,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.990328820116,0.0,0.0,0.0,0.0,0.0
aomori__ikari-kaseki-kana__ikarigaseki,0.998065764023,0.998065764023,0.998065764023,0.998065764023,0.990328820116,0.0,0.99419729207,0.99419729207,0.943907156673,0.0,0.0,0.0,0.0,0.0
aomori__imabari-kana__imabeets,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.978723404255,0.0,0.0,0.0,0.0,0.0
aomori__kanazawa-kana__ajigasawa,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.99419729207,0.0,0.0,0.0,0.0,0.0
aomori__kanita-kana__kanita,0.998065764023,0.998065764023,0.998065764023,0.998065764023,0.996131528046,0.0,0.0,0.0,0.982591876209,0.0,0.0,0.0,0.0,0.0
aomori__kuroishi-kana__kuroishi,1.0,1.0,1.0,0.996131528046,1.0,0.0,0.0,0.0,0.982591876209,0.0,0.0,0.0,0.0,0.0
aomori__masaruyama-kana__kenasiyama____1983-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__misawa-kana__misawa,0.998065764023,0.998065764023,0.998065764023,0.998065764023,0.998065764023,0.0,0.0,0.0,0.986460348162,0.0,0.0,0.0,0.0,0.0
aomori__mito-kana__san-noghe,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.965183752418,0.0,0.0,0.0,0.0,0.0
aomori__mt-katakana__NONE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__mt-sorakuyama__soradayama____1994-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__mutsukana__mutsu,1.0,1.0,1.0,0.793036750484,1.0,0.0,0.321083172147,0.2166344294,1.0,1.0,1.0,1.0,1.0,0.0
aomori__nagoya-ping-kana__chow-kei-daira____1977-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__nobeyama-kana__north-hegi,1.0,1.0,1.0,1.0,0.996131528046,0.0,1.0,1.0,0.996131528046,0.0,0.0,0.0,0.0,0.0
aomori__odanosawa-kana__odanosawa,1.0,1.0,1.0,1.0,0.996131528046,0.0,0.0,0.0,0.970986460348,0.0,0.0,0.0,0.0,0.0
aomori__oma-kana__ooma,1.0,1.0,1.0,0.996131528046,0.996131528046,0.0,0.99419729207,0.99419729207,1.0,0.0,0.0,0.0,0.0,0.0
aomori__owani-kana__owani,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__rokkasho-kana__roccasso,1.0,1.0,1.0,1.0,0.996131528046,0.0,0.0,0.0,0.974854932302,0.0,0.0,0.0,0.0,0.0
aomori__shichido-kana__NONE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__shiomon-mori-kana__shi-hei-mori____1996-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__shoji-shanji-kana__shousuyama____2005-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__togani-katakana__heli,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__towada-kana__towada,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.986460348162,0.0,0.0,0.0,0.0,0.0
aomori__wakinozawa-kana__wakinoosawa,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.986460348162,0.0,0.0,0.0,0.0,0.0
aomori__yamato-mountain-kana__yamatoyama,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aomori__yunogawa-kana__yunokawa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiba__abiko-kana__abiko,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chiba__chiba-kana__ciba,1.0,1.0,1.0,0.456479690522,1.0,0.0,0.00193423597679,0.00193423597679,1.0,1.0,1.0,1.0,1.0,0.0
chiba__choshi-kana__NONE,1.0,1.0,1.0,0.605415860735,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chiba__funabashi-kana__funabashi,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chiba__higashijo-kana__tonosho,0.0,0.0,0.0,0.996131528046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiba__kamogawa-kana__camogawa,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chiba__katori-katakana__katri,0.998065764023,0.998065764023,0.998065764023,1.0,1.0,0.0,0.0,0.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
chiba__katsuura-kana__katsuura,1.0,1.0,1.0,0.526112185687,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
chiba__kisarazu-kana__xalaatz,0.996131528046,0.996131528046,0.996131528046,0.996131528046,0.996131528046,0.0,0.0,0.0,0.996131528046,0.0,0.0,0.0,0.0,0.0
chiba__mobara-kana__mobara,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chiba__narita-kana__narita,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chiba__otaki-kana__otaky,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiba__sakabata-kana__sakahata,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chiba__sakura-kana__sakura,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chiba__sawan-kana__kyanan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chiba__tateyama-kana__tatoyama,0.992263056093,0.992263056093,0.992263056093,0.462282398453,0.990328820116,0.0,0.0,0.0,0.992263056093,0.992263056093,0.992263056093,0.992263056093,0.992263056093,0.0
chiba__ushiku-kana__ushiku,1.0,1.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
chiba__yokoshiba-light-kana__yoshoshiba-bahikari,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
ehime__finding-company-kana__NONE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehime__futoshi-katakana__tomisato,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehime__gyoza-kana__mishou,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__imabari-kana__imabari,1.0,1.0,1.0,1.0,0.996131528046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__kamibayashi-kana__kamihayashi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehime__konaga-kana__tikanaga,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
ehime__kuma-kana__bear,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.990328820116,0.0,0.0,0.0,0.0,0.0
ehime__matsuyama-kana__matsuyama,1.0,1.0,1.0,0.57833655706,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ehime__matsuyama-minamiyoshida-kana__matsuyama-minami-yoshida,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__misaki-kana__misaki____1997-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehime__nagahama-kana__nagahama,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__nakayama-kana__nakayama,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehime__niihama-kana__niihama,0.541586073501,0.541586073501,0.541586073501,0.541586073501,0.541586073501,0.0,0.0,0.0,0.541586073501,0.0,0.0,0.0,0.0,0.0
ehime__osu-kana__oos,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__otasima-kana__oomishima,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__saijo-kana__saigyo,1.0,1.0,1.0,0.998065764023,0.998065764023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__seto-kana__NONE,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__shikoku-central-kana__shikoku-tsuruto,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__shishigoshigo-kana__shishigo-itoge,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehime__tamagawa-kana__tamagawa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehime__uwa-kana__owa,1.0,1.0,1.0,0.998065764023,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ehime__uwajima-kana__uwajima,1.0,1.0,1.0,0.537717601547,1.0,0.0,0.0,0.0,1.0,0.996131528046,1.0,0.996131528046,1.0,0.0
ehime__yawatahama-kana__yawata-hama,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__chunchee-kana__haru,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fukui__fukui-kana__fukui,1.0,1.0,1.0,0.721470019342,1.0,1.0,0.127659574468,0.0773694390716,1.0,0.996131528046,1.0,0.996131528046,1.0,1.0
fukui__imajo-kana__imago,1.0,0.998065764023,0.998065764023,0.996131528046,0.998065764023,0.0,1.0,1.0,0.961315280464,0.0,0.0,0.0,0.0,0.0
fukui__itagaki-kana__itagaki____2009-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__kasuga-kana__kasugano____2005-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__katsuyama-kana__katsuyama,1.0,1.0,1.0,1.0,0.99419729207,0.0,0.0,0.0,0.969052224371,0.0,0.0,0.0,0.0,0.0
fukui__kawakami-kana__kawakami____1995-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__koshika-kana__koshino,1.0,1.0,1.0,1.0,0.998065764023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fukui__kuzuryuu-kana__kuzulyn,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__mihama-kana__mihama,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.992263056093,0.0,0.0,0.0,0.0,0.0
fukui__mikuni-kana__mikuni,0.998065764023,0.998065764023,0.998065764023,0.998065764023,0.978723404255,0.0,0.0,0.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
fukui__miyama-kana__miyama,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__mountain-taylora__taylayama____1981-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__obama-kana__obama,1.0,1.0,1.0,1.0,0.998065764023,0.0,1.0,1.0,0.996131528046,0.0,0.0,0.0,0.0,0.0
fukui__ohno-kana__ohno,1.0,1.0,1.0,1.0,0.996131528046,0.0,1.0,1.0,0.953578336557,0.0,0.0,0.0,0.0,0.0
fukui__oihi-kana__oyi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__takefu-kana__takef,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fukui__tsuruga-katakana__turgha,1.0,1.0,1.0,0.647969052224,1.0,0.0,0.0696324951644,0.0444874274662,0.998065764023,0.99419729207,1.0,0.99419729207,1.0,0.0
fukuoka__airport-kita-cho-kana__kuokou-kitamachi,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fukuoka__asakura-kana__asakura,0.996131528046,0.996131528046,0.996131528046,0.996131528046,0.996131528046,0.0,0.0,0.0,0.990328820116,0.0,0.0,0.0,0.0,0.0
fukuoka__dazaifu-kana__dasaif,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.998065764023,0.0,0.0,0.0,0.0,0.0
fukuoka__fukuoka-kana__fukuoka,1.0,1.0,1.0,0.622823984526,1.0,1.0,0.0135396518375,0.00580270793037,1.0,1.0,1.0,1.0,1.0,1.0
fukuoka__hakata-kana__hakata,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fukuoka__higashitani-kana__higashitani,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukuoka__hikoshiyama-kana__hikosan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fukuoka__iizuka-kana__ikka,1.0,1.0,1.0,0.651837524178,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
fukuoka__koji-sueda__soeda,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.996131528046,0.0,0.0,0.0,0.0,0.0
fukuoka__kokura-kana__cochla____1977-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
